Cap,NÂº carateres, totpos, quanpos, totneg, quanneg,palavras,rationeg
0,1184,3.0,4,2.0,3,207,0.6381440192829165
1,2601,13.5,15,20.0,21,454,0.6381440192829165
2,14529,68.0,71,92.0,98,2567,0.6381440192829165
3,10711,44.5,51,70.5,75,1837,0.6381440192829165
4,12783,62.5,67,89.0,99,2250,0.6381440192829165
5,11051,70.5,76,83.5,93,1925,0.6381440192829165
6,14584,42.0,44,72.0,76,2644,0.6381440192829165
7,17951,43.0,43,88.5,97,3151,0.6381440192829165
8,20228,67.0,70,97.5,105,3580,0.6381440192829165
9,17727,64.5,70,96.0,107,3236,0.6381440192829165
10,11508,36.5,41,51.5,56,2043,0.6381440192829165
11,22154,77.0,82,119.0,129,3912,0.6381440192829165
12,11485,35.0,38,76.0,81,2013,0.6381440192829165
13,12283,50.0,53,81.0,89,2197,0.6381440192829165
14,13247,56.5,61,85.5,95,2342,0.6381440192829165
15,10863,49.0,52,71.0,74,1896,0.6381440192829165
16,12089,52.5,53,54.0,57,2189,0.6381440192829165
17,10654,32.0,34,68.0,71,1817,0.6381440192829165
18,7341,25.0,27,39.5,42,1277,0.6381440192829165
19,10300,32.5,34,79.0,84,1823,0.6381440192829165
20,33045,134.5,141,224.0,239,5794,0.6381440192829165
